Date,Open,High,Low,Close,Adj Close,Volume
2015-01-13,4204.770020,4310.580078,4197.810059,4290.279785,4290.279785,127789000
2015-01-14,4227.459961,4302.220215,4207.370117,4223.240234,4223.240234,151689400
2015-01-15,4262.939941,4338.729980,4119.350098,4323.200195,4323.200195,187411300
2015-01-16,4303.549805,4387.220215,4294.759766,4379.620117,4379.620117,174122800
2015-01-19,4388.669922,4423.250000,4367.240234,4394.930176,4394.930176,107393400
2015-01-20,4406.959961,4463.509766,4405.939941,4446.020020,4446.020020,141375600
2015-01-21,4455.009766,4484.819824,4406.720215,4484.819824,4484.819824,160196600
2015-01-22,4486.759766,4569.549805,4462.169922,4552.799805,4552.799805,208073500
2015-01-23,4588.490234,4673.299805,4585.640137,4640.689941,4640.689941,222514400
2015-01-26,4620.000000,4678.830078,4616.609863,4675.129883,4675.129883,127771700
2015-01-27,4671.759766,4679.259766,4592.620117,4624.209961,4624.209961,145807700
2015-01-28,4660.450195,4660.879883,4582.580078,4610.939941,4610.939941,130618600
2015-01-29,4571.049805,4632.379883,4571.049805,4631.430176,4631.430176,117222200
2015-01-30,4655.950195,4660.709961,4583.680176,4604.250000,4604.250000,142104300
2015-02-02,4613.310059,4646.549805,4584.370117,4627.669922,4627.669922,123784000
2015-02-03,4651.069824,4701.520020,4645.149902,4677.899902,4677.899902,146301200
2015-02-04,4682.810059,4696.299805,4651.779785,4696.299805,4696.299805,130750800
2015-02-05,4654.560059,4705.100098,4647.850098,4703.299805,4703.299805,121316800
2015-02-06,4698.839844,4707.240234,4675.370117,4691.029785,4691.029785,154635000
2015-02-09,4652.160156,4659.259766,4611.149902,4651.080078,4651.080078,138917900
2015-02-10,4663.459961,4716.490234,4636.080078,4695.649902,4695.649902,127662600
2015-02-11,4687.870117,4694.439941,4659.459961,4679.379883,4679.379883,94464200
2015-02-12,4670.080078,4746.750000,4664.029785,4726.200195,4726.200195,159105400
2015-02-13,4748.040039,4779.540039,4741.200195,4759.359863,4759.359863,161376000
2015-02-16,4757.520020,4766.470215,4747.220215,4751.950195,4751.950195,99362700
2015-02-17,4720.930176,4766.669922,4683.189941,4753.990234,4753.990234,109444600
2015-02-18,4782.589844,4806.680176,4775.870117,4799.029785,4799.029785,140858300
2015-02-19,4788.399902,4841.689941,4770.169922,4833.279785,4833.279785,128577800
2015-02-20,4821.379883,4837.930176,4780.810059,4830.899902,4830.899902,140055500
