Year,AvgVolume,AvgAdjClose
2015,1.2671537580645162E8,4848.348120903228
2016,1.0883264902723736E8,4418.900583486382
2017,8.671255843137255E7,5178.016325819611
2018,8.523064470588236E7,5293.623776407843
2019,7.949744784313725E7,5458.275358082349
2020,9.250646926070039E7,5077.860552968872
2021,7.307932093023255E7,6427.139182872093
2022,8.163073151750973E7,6434.0226946381335
2023,5.9805655686274506E7,7237.243732764707
2024,5.7308283333333336E7,7802.509589361111
